ConsignDetailID,ConsignID,InvoiceNo,description,articleNo,article,weight,chargeWeight,rateType,rate,freight,InvoiceValue,GRNDate,GRNNo
392710,290602,NULL,RHEOTEC CAC,28,11,NULL,700,Fixed,NULL,NULL,NULL,NULL,NULL
392711,290603,NULL,KALMINEX 108 ZP 4/7 K,17,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392712,290603,NULL,KALMINEX 108 ZP 6/9 K,50,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392713,290604,NULL,Castings,228,7,NULL,8480,Fixed,NULL,NULL,NULL,NULL,NULL
392714,290604,NULL,Castings,1,7,NULL,278,Fixed,NULL,NULL,NULL,NULL,NULL
392715,290605,NULL,CASTINGS,3,7,NULL,269,Fixed,NULL,NULL,NULL,NULL,NULL
392716,290606,NULL,CASTINGS,26,7,NULL,4455,Fixed,NULL,NULL,NULL,NULL,NULL
392717,290607,NULL,CASTINGS,28,2,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392718,290608,NULL,Castings,9,7,NULL,3490,Fixed,NULL,NULL,NULL,NULL,NULL
392719,290609,NULL,H B M Bed,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392720,290610,NULL,Westarn-x Axis Sllde,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392721,290611,NULL,ENGINE,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392722,290612,NULL,Piller,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392723,290613,NULL,COVER CASTING,15,1,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392724,290613,NULL,PULLEY 3129-17C,740,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392725,290614,NULL,PANNEL,5,78,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392726,290615,NULL,Patterns,1,246,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392727,290616,NULL,CASTING,200,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392728,290617,NULL,S S FLANGES,12,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392729,290618,NULL,Castings,5,7,NULL,83,Fixed,NULL,NULL,NULL,NULL,NULL
392730,290619,NULL,Castings,11,7,NULL,768,Fixed,NULL,NULL,NULL,NULL,NULL
392731,290619,NULL,R .T. FILM,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392732,290620,NULL,Casting,9,4,NULL,100,Fixed,NULL,NULL,NULL,NULL,NULL
392733,290621,NULL,Casting,197,4,NULL,3600,Fixed,NULL,NULL,NULL,NULL,NULL
392734,290622,NULL,SR-25,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392735,290623,NULL,Casting,22,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392736,290623,NULL,Impller,24,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392737,290623,NULL,Shaft,1,321,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392738,290623,NULL,NULL,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392739,290624,NULL,WAFER BODY CAST IVGK 100 NB,40,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392740,290624,NULL,WAFER BODY CAST/ IVGK- 150 NB,40,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392741,290624,NULL,WAFER BODY CAST IVGK 65NB,60,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392742,290624,NULL,WAFER BODY CAST IVGK DN50,12,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392743,290624,NULL,WAFER BODY CAST IVGK DN200,0,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392744,290624,NULL,WOODEN PALLET,0,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392745,290625,NULL,EXPORT,13,2583,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392746,290625,NULL,CASTING,1,208,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392747,290625,NULL,CASTING,3,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392748,290626,NULL,SHAFT,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392749,290627,NULL,SPINDLE HEAD,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392750,290627,NULL,BEARING HOUSING,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392751,290628,NULL,ACMEX SLEEVE,20,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392752,290628,NULL,ACMEX SLEEVE,9,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392753,290629,NULL,ACMIN SLEEVE,65,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392754,290630,NULL,ACMEX SLEEVE,5,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392755,290630,NULL,ACMEX SLEEVE,10,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392756,290630,NULL,ACMIN- DP SLEEVES,10,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392757,290631,NULL,Acmeklin MP-2500 IR,7,11,NULL,210,Fixed,NULL,NULL,NULL,NULL,NULL
392758,290632,NULL,MP-101,2,29,NULL,410,Fixed,NULL,NULL,NULL,NULL,NULL
392759,290633,NULL,CASTING,30,1,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392760,290634,NULL,MOTOR STL,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392761,290634,NULL,JIB CRANE WITH HOISTS,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392762,290635,NULL,CARBON CUP & TEMP TIPS,18,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392763,290636,NULL,CARBON CUP & FIBER GLASS SPOON,4,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392764,290637,NULL,TEMP TIPS,15,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392765,290638,NULL,TEMP TIPS,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392766,290639,NULL,CARBON CUP,10,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392767,290640,NULL,CARBON CUP,3,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392768,290641,NULL,CARBON CUP,3,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392769,290642,NULL,CARBON CUP,3,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392770,290643,NULL,CARBON CUP & TEMP TIPS,11,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392771,290644,NULL,CARBON CUP & TEMP TIPS,14,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392772,290645,NULL,CARBON CUP,30,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392773,290646,NULL,CARBON CUP,3,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
